('传祺GS4 2015款 200T 手动精英版', 'https://image.guazistatic.com/gz01180430/11/51/e6fde6d053a84fcfb74054a6bcf240c1.jpg', '2016年', '6.80万', '11.80万')
('传祺GS5 2014款 1.8T 自动两驱超享版', 'https://image.guazistatic.com/gz01180624/16/12/a01b8e3112bc83ff4ac5e513bfd05db5.jpg', '2.1万公里', '8.50万', '16.40万')
('传祺GA5 2015款 增程式 尊享版', 'https://image1.guazistatic.com/qn180226093314f4087a055399b4bb6a0d868bc4973cf7.jpg', '2015年', '8.30万', '23.80万')
('传祺GS4 2015款 200T 手动精英版', 'https://image.guazistatic.com/gz01180426/16/33/25a3d6bcbf320f407e6ed164cbce01de.jpg', '2016年', '10.00万', '11.80万')
('传祺GS5 2012款 2.0L 手动两驱舒适版', 'https://image.guazistatic.com/gz01180417/15/24/7a26ed1dbf078e3ffcbb2a700c12210e.jpg', '7.9万公里', '6.30万', '13.40万')
('传祺GS5 Super 2015款 1.8T 自动两驱豪华导航版', 'https://image.guazistatic.com/gz01180703/11/11/814f9eaed0c619ecedb3c4f47241cc7c.jpg', '2013年', '9.00万', '18.90万')
('传祺GS8 2017款 320T 两驱豪华智联版', 'https://image1.guazistatic.com/qn1803141340431686b2236053cd3d4e5fa30c060a5917.jpg', '9.7万公里', '16.68万', '19.80万')
('传祺GS4 2015款 200T G-DCT豪华版', 'https://image.guazistatic.com/gz01180423/17/34/4356530a7f75c9788e15a4416dc60be8.jpg', '1.6万公里', '8.50万', '14.80万')
('传祺GS4 2017款 200T G-DCT两驱舒适版', 'https://image.guazistatic.com/gz01180621/12/09/516c491b14b9073d800d18edf330cf8e.jpg', '1.8万公里', '8.20万', '12.60万')
('传祺GS4 2016款 235T G-DCT豪华版', 'https://image.guazistatic.com/gz01180604/11/09/4bc57c23fad9af8a17fead96cbcf85e8.jpg', '2017年', '11.10万', '15.60万')
('传祺GS5 2014款 2.0L 自动两驱超享版', 'https://image1.guazistatic.com/qn180413160024c15bcad685e011f6a2071ae4b766657f.jpg', '7.2万公里', '7.00万', '14.80万')
('传祺GS8 2017款 320T 两驱豪华智联版', 'https://image1.guazistatic.com/qn18070414193272d1a5799b3a50dfb2200b1a1ae6029b.jpg', '2015年', '14.50万', '19.80万')
('传祺GS5 2014款 2.0L 自动两驱超享版', 'https://image1.guazistatic.com/qn180517231256debe94cf29a0d52430f32327379072f7.jpg', '2014年', '6.28万', '14.80万')
('传祺GS4 2015款 200T G-DCT豪华版', 'https://image1.guazistatic.com/qn18052417072676dbfc43823dbc03e87e891be6051301.jpg', '2017年', '8.00万', '14.80万')
('传祺GA5 2015款 增程式 尊享版', 'https://image.guazistatic.com/gz01180609/16/01/74c6d6d9d6e2513ffc75db9f145bdbbb.jpg', '7.0万公里', '7.50万', '23.80万')
('传祺GS5 Super 2016款 1.8T 自动两驱周年纪念版', 'https://image1.guazistatic.com/qn18070618030335d8da7a94f1e785607d76fe20d0b425.jpg', '2013年', '11.00万', '16.70万')
('传祺GS5 Super 2015款 2.0L 手动两驱舒适版', 'https://image1.guazistatic.com/qn18051322260833180f05847379c6cb3e658f61792149.jpg', '1.3万公里', '8.00万', '13.80万')
('传祺GS8 2017款 320T 两驱豪华智联版', 'https://image1.guazistatic.com/qn180508132201c0756ccb6a7dffc1d0f1a0fd1845c599.jpg', '1.6万公里', '16.00万', '19.80万')
('传祺GS4新能源 2017款 1.5L PHEV智享版', 'https://image1.guazistatic.com/qn1807071405149acd6759dc226ec2ea3611b4ddb553d1.jpg', '2015年', '15.00万', '22.80万')
('传祺GS5 2012款 2.0L 自动两驱周年纪念版', 'https://image.guazistatic.com/gz01180609/10/34/9712611688bf72a330df2016c539aed9.jpg', '5.8万公里', '6.48万', '17.00万')
('传祺GS5 2013款 1.8T 自动两驱精英版', 'https://image.guazistatic.com/gz01180605/15/23/fef7899e7349e29555ad64bcb37dda34.jpg', '2017年', '7.65万', '17.80万')
('传祺GS5 Super 2015款 1.8T 自动两驱豪华导航版', 'https://image1.guazistatic.com/qn17121216022537b31421d682c8c69600a78cb126c8f5.jpg', '5.1万公里', '9.30万', '18.90万')
