('宝骏560 2015款 1.8L 手动豪华型', 'https://image.guazistatic.com/gz01180630/14/46/e7765fcc9fdaf3d271f1f0d70b90eb3f.jpg', '4.7万公里', '7.00万', '9.70万')
('宝骏630 2013款 1.5L 手动舒适型', 'https://image1.guazistatic.com/qn1802280546254011f8bb1dc7e1eecef958062c54aeaf.jpg', '2.3万公里', '3.30万', '7.70万')
('宝骏730 2016款 1.5L 手动豪华型 7座', 'https://image.guazistatic.com/gz01180616/15/43/75237e3f1aa1dd18b13145aa58297137.jpg', '2017年', '5.40万', '8.30万')
('宝骏730 2016款 1.8L 手动豪华型 7座', 'https://image1.guazistatic.com/qn1807102051335c6fc05e88d1e744eb5a535fa09d5c19.jpg', '2016年', '6.20万', '9.70万')
('宝骏730 2016款 1.5L 手动舒适型 7座', 'https://image.guazistatic.com/gz01180524/19/44/dd27ec5682ab3095bff1cebe2cbc331d.jpg', '5.6万公里', '5.80万', '7.60万')
('宝骏560 2017款 律动版 1.8L iAMT尊享型', 'https://image1.guazistatic.com/qn180701014208f9fb47051d17e3bd2c26efc558127c9c.jpg', '5.8万公里', '7.80万', '11.50万')
('宝骏730 2016款 1.5L 手动舒适型 7座', 'https://image1.guazistatic.com/qn1712292024596b55a4f52e6d1404fa4934033dee66ee.jpg', '2015年', '6.80万', '7.60万')
('宝骏560 2015款 1.8L 手动精英型', 'https://image1.guazistatic.com/qn180312185311c8042f14273425650d0aa9cf3c5dbf23.jpg', '2017年', '5.50万', '9.10万')
('宝骏730 2014款 1.5L 手动舒适ESP版 7座', 'https://image1.guazistatic.com/qn180512214551745831b52b307657308c45b5a5749c64.jpg', '8.2万公里', '6.00万', '8.20万')
('宝骏730 2016款 1.5T 手动豪华型 7座', 'https://image1.guazistatic.com/qn180518223225e931fe9aa9a450f12db5f267a37f7834.jpg', '2.6万公里', '6.20万', '9.20万')
('宝骏730 2015款 1.8L 手动豪华导航ESP版 7座', 'https://image.guazistatic.com/gz01180701/19/36/8356f467353debac0eebb916b66251be.jpg', '2016年', '6.00万', '9.70万')
('宝骏560 2016款 1.8L 手动豪华型', 'https://image1.guazistatic.com/qn1806162138161ffb73feed95f7d66f84398d03977f12.jpg', '2017年', '6.00万', '9.10万')
('宝骏730 2014款 1.5L 手动舒适ESP版 7座', 'https://image1.guazistatic.com/qn18011720455143463a98e5686dc871afb0f0113ef10c.jpg', '1.7万公里', '5.79万', '8.20万')
('宝骏560 2016款 1.8L iAMT豪华型', 'https://image.guazistatic.com/gz01180419/15/27/c93c81a895a796550d739ca6a3c115ed.jpg', '1.7万公里', '7.80万', '9.50万')
('宝骏730 2014款 1.5L 手动舒适ESP版 7座', 'https://image.guazistatic.com/gz01180619/18/00/9230eb4e17cc74f9f9b62849e4b2b160.jpg', '2016年', '4.90万', '8.20万')
('宝骏730 2015款 1.8L 手动舒适ESP版 7座', 'https://image.guazistatic.com/gz01180603/08/28/5bb76496a8bb68abddd93394cbd70360.jpg', '2017年', '5.90万', '9.10万')
('宝骏730 2014款 1.5L 手动舒适ESP版 7座', 'https://image1.guazistatic.com/qn18070820483470e6b610dbe0b4085c8b26770d99ffa8.jpg', '5.5万公里', '5.20万', '8.20万')
